{TSPName : "a280", BestKnownSolution: 2579,
Path:[{ name: 1, x: 288, y: 149},
{ name: 2, x: 288, y: 129},
{ name: 3, x: 270, y: 133},
{ name: 4, x: 256, y: 141},
{ name: 5, x: 256, y: 157},
{ name: 6, x: 246, y: 157},
{ name: 7, x: 236, y: 169},
{ name: 8, x: 228, y: 169},
{ name: 9, x: 228, y: 161},
{ name:  10, x: 220, y: 169},
{ name:  11, x: 212, y: 169},
{ name:  12, x: 204, y: 169},
{ name:  13, x: 196, y: 169},
{ name:  14, x: 188, y: 169},
{ name:  15, x: 196, y: 161},
{ name:  16, x: 188, y: 145},
{ name:  17, x: 172, y: 145},
{ name:  18, x: 164, y: 145},
{ name:  19, x: 156, y: 145},
{ name:  20, x: 148, y: 145},
{ name:  21, x: 140, y: 145},
{ name:  22, x: 148, y: 169},
{ name:  23, x: 164, y: 169},
{ name:  24, x: 172, y: 169},
{ name:  25, x: 156, y: 169},
{ name:  26, x: 140, y: 169},
{ name:  27, x: 132, y: 169},
{ name:  28, x: 124, y: 169},
{ name:  29, x: 116, y: 161},
{ name:  30, x: 104, y: 153},
{ name:  31, x: 104, y: 161},
{ name:  32, x: 104, y: 169},
{ name:  33, x:  90, y: 165},
{ name:  34, x:  80, y: 157},
{ name:  35, x:  64, y: 157},
{ name:  36, x:  64, y: 165},
{ name:  37, x:  56, y: 169},
{ name:  38, x:  56, y: 161},
{ name:  39, x:  56, y: 153},
{ name:  40, x:  56, y: 145},
{ name:  41, x:  56, y: 137},
{ name:  42, x:  56, y: 129},
{ name:  43, x:  56, y: 121},
{ name:  44, x:  40, y: 121},
{ name:  45, x:  40, y: 129},
{ name:  46, x:  40, y: 137},
{ name:  47, x:  40, y: 145},
{ name:  48, x:  40, y: 153},
{ name:  49, x:  40, y: 161},
{ name:  50, x:  40, y: 169},
{ name:  51, x:  32, y: 169},
{ name:  52, x:  32, y: 161},
{ name:  53, x:  32, y: 153},
{ name:  54, x:  32, y: 145},
{ name:  55, x:  32, y: 137},
{ name:  56, x:  32, y: 129},
{ name:  57, x:  32, y: 121},
{ name:  58, x:  32, y: 113},
{ name:  59, x:  40, y: 113},
{ name:  60, x:  56, y: 113},
{ name:  61, x:  56, y: 105},
{ name:  62, x:  48, y:  99},
{ name:  63, x:  40, y:  99},
{ name:  64, x:  32, y:  97},
{ name:  65, x:  32, y:  89},
{ name:  66, x:  24, y:  89},
{ name:  67, x:  16, y:  97},
{ name:  68, x:  16, y: 109},
{ name:  69, x:   8, y: 109},
{ name:  70, x:   8, y:  97},
{ name:  71, x:   8, y:  89},
{ name:  72, x:   8, y:  81},
{ name:  73, x:   8, y:  73},
{ name:  74, x:   8, y:  65},
{ name:  75, x:   8, y:  57},
{ name:  76, x:  16, y:  57},
{ name:  77, x:   8, y:  49},
{ name:  78, x:   8, y:  41},
{ name:  79, x:  24, y:  45},
{ name:  80, x:  32, y:  41},
{ name:  81, x:  32, y:  49},
{ name:  82, x:  32, y:  57},
{ name:  83, x:  32, y:  65},
{ name:  84, x:  32, y:  73},
{ name:  85, x:  32, y:  81},
{ name:  86, x:  40, y:  83},
{ name:  87, x:  40, y:  73},
{ name:  88, x:  40, y:  63},
{ name:  89, x:  40, y:  51},
{ name:  90, x:  44, y:  43},
{ name:  91, x:  44, y:  35},
{ name:  92, x:  44, y:  27},
{ name:  93, x:  32, y:  25},
{ name:  94, x:  24, y:  25},
{ name:  95, x:  16, y:  25},
{ name:  96, x:  16, y:  17},
{ name:  97, x:  24, y:  17},
{ name:  98, x:  32, y:  17},
{ name:  99, x:  44, y:  11},
{ name: 100, x:  56, y:   9},
{ name: 101, x:  56, y:  17},
{ name: 102, x:  56, y:  25},
{ name: 103, x:  56, y:  33},
{ name: 104, x:  56, y:  41},
{ name: 105, x:  64, y:  41},
{ name: 106, x:  72, y:  41},
{ name: 107, x:  72, y:  49},
{ name: 108, x:  56, y:  49},
{ name: 109, x:  48, y:  51},
{ name: 110, x:  56, y:  57},
{ name: 111, x:  56, y:  65},
{ name: 112, x:  48, y:  63},
{ name: 113, x:  48, y:  73},
{ name: 114, x:  56, y:  73},
