{TSPName: "fl1400", BestKnownSolution: 20127,
Path: [{name: 1,x: 2.10461e+03,y: 1.96835e+03},
{name: 2,x: 2.10461e+03,y: 2.32264e+02},
{name: 3,x: 2.95591e+02,y: 1.96835e+03},
{name: 4,x: 2.95591e+02,y: 2.32264e+02},
{name: 5,x: 1.02570e+03,y: 1.97130e+03},
{name: 6,x: 1.16167e+03,y: 1.96539e+03},
{name: 7,x: 1.19123e+03,y: 1.95949e+03},
{name: 8,x: 1.16759e+03,y: 1.95949e+03},
{name: 9,x: 1.09664e+03,y: 1.95949e+03},
{name: 10, x: 1.10256e+03 , y: 1.95358e+03 },
{name: 11, x: 1.09073e+03 , y: 1.95358e+03 },
{name: 12, x: 1.01979e+03 , y: 1.95358e+03 },
{name: 13, x: 1.23262e+03 , y: 1.94177e+03 },
{name: 14, x: 1.04344e+03 , y: 1.94177e+03 },
{name: 15, x: 1.23853e+03 , y: 1.93587e+03 },
{name: 16, x: 1.16759e+03 , y: 1.93587e+03 },
{name: 17, x: 1.13211e+03 , y: 1.93587e+03 },
{name: 18, x: 1.26809e+03 , y: 1.92996e+03 },
{name: 19, x: 1.24444e+03 , y: 1.92996e+03 },
{name: 20, x: 1.06708e+03 , y: 1.92996e+03 },
{name: 21, x: 1.17941e+03 , y: 1.92406e+03 },
{name: 22, x: 1.04935e+03 , y: 1.92406e+03 },
{name: 23, x: 1.03753e+03 , y: 1.92406e+03 },
{name: 24, x: 1.12620e+03 , y: 1.91815e+03 },
{name: 25, x: 1.09073e+03 , y: 1.91815e+03 },
{name: 26, x: 9.84319e+02 , y: 1.91815e+03 },
{name: 27, x: 1.32720e+03 , y: 1.90634e+03 },
{name: 28, x: 1.03161e+03 , y: 1.90634e+03 },
{name: 29, x: 9.96143e+02 , y: 1.90634e+03 },
{name: 30, x: 1.04935e+03 , y: 1.90044e+03 },
{name: 31, x: 1.18532e+03 , y: 1.89453e+03 },
{name: 32, x: 1.11438e+03 , y: 1.89453e+03 },
{name: 33, x: 1.31538e+03 , y: 1.88272e+03 },
{name: 34, x: 1.29173e+03 , y: 1.88272e+03 },
{name: 35, x: 1.07891e+03 , y: 1.88272e+03 },
{name: 36, x: 1.01388e+03 , y: 1.87682e+03 },
{name: 37, x: 1.73512e+03 , y: 1.74691e+03 },
{name: 38, x: 7.41934e+02 , y: 1.74691e+03 },
{name: 39, x: 1.72921e+03 , y: 1.74100e+03 },
{name: 40, x: 7.36022e+02 , y: 1.74100e+03 },
{name: 41, x: 1.52230e+03 , y: 1.72329e+03 },
{name: 42, x: 5.29108e+02 , y: 1.72329e+03 },
{name: 43, x: 1.18532e+03 , y: 1.64652e+03 },
{name: 44, x: 1.56959e+03 , y: 1.52252e+03 },
{name: 45, x: 5.76403e+02 , y: 1.52252e+03 },
{name: 46, x: 1.14985e+03 , y: 1.44575e+03 },
{name: 47, x: 6.17786e+02 , y: 1.44575e+03 },
{name: 48, x: 1.03161e+03 , y: 1.42213e+03 },
{name: 49, x: 1.10847e+03 , y: 1.41622e+03 },
{name: 50, x: 7.53758e+02 , y: 1.41622e+03 },
{name: 51, x: 1.03161e+03 , y: 1.41032e+03 },
{name: 52, x: 5.94138e+02 , y: 1.41032e+03 },
{name: 53, x: 7.59670e+02 , y: 1.39851e+03 },
{name: 54, x: 6.05962e+02 , y: 1.39851e+03 },
{name: 55, x: 7.53758e+02 , y: 1.27450e+03 },
{name: 56, x: 6.59169e+02 , y: 1.25088e+03 },
{name: 57, x: 1.26809e+03 , y: 1.24498e+03 },
{name: 58, x: 5.94138e+02 , y: 1.24498e+03 },
{name: 59, x: 6.11874e+02 , y: 1.22726e+03 },
{name: 60, x: 1.27991e+03 , y: 1.22136e+03 },
{name: 61, x: 6.59169e+02 , y: 1.15640e+03 },
{name: 62, x: 1.22670e+03 , y: 1.00287e+03 },
{name: 63, x: 1.14985e+03 , y: 9.96967e+02 },
{name: 64, x: 1.61097e+03 , y: 9.73347e+02 },
{name: 65, x: 1.03753e+03 , y: 8.02101e+02 },
{name: 66, x: 1.31538e+03 , y: 7.96196e+02 },
{name: 67, x: 1.11438e+03 , y: 7.96196e+02 },
{name: 68, x: 1.09073e+03 , y: 7.96196e+02 },
{name: 69, x: 1.27400e+03 , y: 7.90290e+02 },
{name: 70, x: 1.13211e+03 , y: 7.90290e+02 },
{name: 71, x: 1.10847e+03 , y: 7.90290e+02 },
{name: 72, x: 1.01388e+03 , y: 7.90290e+02 },
{name: 73, x: 1.26809e+03 , y: 7.84386e+02 },
{name: 74, x: 1.11438e+03 , y: 7.84386e+02 },
{name: 75, x: 1.03161e+03 , y: 7.84386e+02 },
{name: 76, x: 1.66418e+03 , y: 7.78481e+02 },
{name: 77, x: 1.23853e+03 , y: 7.78481e+02 },
{name: 78, x: 1.09664e+03 , y: 7.78481e+02 },
{name: 79, x: 1.04935e+03 , y: 7.78481e+02 },
{name: 80, x: 9.78407e+02 , y: 7.78481e+02 },
{name: 81, x: 1.23262e+03 , y: 7.72576e+02 },
{name: 82, x: 1.18532e+03 , y: 7.72576e+02 },
{name: 83, x: 1.07891e+03 , y: 7.72576e+02 },
{name: 84, x: 1.05526e+03 , y: 7.72576e+02 },
{name: 85, x: 1.01979e+03 , y: 7.72576e+02 },
{name: 86, x: 1.21488e+03 , y: 7.66670e+02 },
{name: 87, x: 1.19123e+03 , y: 7.66670e+02 },
{name: 88, x: 1.16759e+03 , y: 7.66670e+02 },
{name: 89, x: 1.08482e+03 , y: 7.66670e+02 },
{name: 90, x: 1.07300e+03 , y: 7.66670e+02 },
{name: 91, x: 1.23262e+03 , y: 7.60765e+02 },
{name: 92, x: 1.16167e+03 , y: 7.60765e+02 },
{name: 93, x: 1.26218e+03 , y: 7.54861e+02 },
{name: 94, x: 1.25035e+03 , y: 7.54861e+02 },
{name: 95, x: 1.17941e+03 , y: 7.54861e+02 },
{name: 96, x: 1.02570e+03 , y: 7.54861e+02 },
{name: 97, x: 1.26809e+03 , y: 7.48955e+02 },
{name: 98, x: 1.24444e+03 , y: 7.48955e+02 },
{name: 99, x: 1.17350e+03 , y: 7.48955e+02 },
{name: 100,x: 1.13211e+03 , y: 7.43050e+02 },
{name: 101,x: 1.12029e+03 , y: 7.43050e+02 },
{name: 102,x: 1.01979e+03 , y: 7.25335e+02 },
{name: 103,x: 9.96143e+02 , y: 7.25335e+02 },
{name: 104,x: 1.03753e+03 , y: 7.19430e+02 },
{name: 105,x: 1.00205e+03 , y: 7.19430e+02 },
{name: 106,x: 1.17350e+03 , y: 5.59994e+02 },
{name: 107,x: 1.61097e+03 , y: 5.48184e+02 },
{name: 108,x: 1.17350e+03 , y: 5.48184e+02 },
{name: 109,x: 1.22079e+03 , y: 5.36374e+02 },
{name: 110,x: 1.07300e+03 , y: 1.96539e+03 },
{name: 111,x: 1.04935e+03 , y: 1.96539e+03 },
{name: 112,x: 1.13803e+03 , y: 1.95949e+03 },
{name: 113,x: 1.11438e+03 , y: 1.95949e+03 },
{name: 114,x: 1.05526e+03 , y: 1.95949e+03 },
