{TSPName: "pr76", BestKnownSolution: 108159,
Path:[{name: 1 , x: 3600 ,y: 2300  },
{name: 2 , x: 3100 ,y: 3300  },
{name: 3 , x: 4700 ,y: 5750  },
{name: 4 , x: 5400 ,y: 5750  },
{name: 5 , x: 5608 ,y: 7103  },
{name: 6 , x: 4493 ,y: 7102  },
{name: 7 , x: 3600 ,y: 6950  },
{name: 8 , x: 3100 ,y: 7250  },
{name: 9 , x: 4700 ,y: 8450  },
{name: 10, x: 5400 ,y: 8450  },
{name: 11, x: 5610 ,y: 10053 },
{name: 12, x: 4492 ,y: 10052 },
{name: 13, x: 3600 ,y: 10800 },
{name: 14, x: 3100 ,y: 10950 },
{name: 15, x: 4700 ,y: 11650 },
{name: 16, x: 5400 ,y: 11650 },
{name: 17, x: 6650 ,y: 10800 },
{name: 18, x: 7300 ,y: 10950 },
{name: 19, x: 7300 ,y: 7250  },
{name: 20, x: 6650 ,y: 6950  },
{name: 21, x: 7300 ,y: 3300  },
{name: 22, x: 6650 ,y: 2300  },
{name: 23, x: 5400 ,y: 1600  },
{name: 24, x: 8350 ,y: 2300  },
{name: 25, x: 7850 ,y: 3300  },
{name: 26, x: 9450 ,y: 5750  },
{name: 27, x: 10150,y: 5750  },
{name: 28, x: 10358,y: 7103  },
{name: 29, x: 9243 ,y: 7102  },
{name: 30, x: 8350 ,y: 6950  },
{name: 31, x: 7850 ,y: 7250  },
{name: 32, x: 9450 ,y: 8450  },
{name: 33, x: 10150,y: 8450  },
{name: 34, x: 10360,y: 10053 },
{name: 35, x: 9242 ,y: 10052 },
{name: 36, x: 8350 ,y: 10800 },
{name: 37, x: 7850 ,y: 10950 },
{name: 38, x: 9450 ,y: 11650 },
{name: 39, x: 10150,y: 11650 },
{name: 40, x: 11400,y: 10800 },
{name: 41, x: 12050,y: 10950 },
{name: 42, x: 12050,y: 7250  },
{name: 43, x: 11400,y: 6950  },
{name: 44, x: 12050,y: 3300  },
{name: 45, x: 11400,y: 2300  },
{name: 46, x: 10150,y: 1600  },
{name: 47, x: 13100,y: 2300  },
{name: 48, x: 12600,y: 3300  },
{name: 49, x: 14200,y: 5750  },
{name: 50, x: 14900,y: 5750  },
{name: 51, x: 15108,y: 7103  },
{name: 52, x: 13993,y: 7102  },
{name: 53, x: 13100,y: 6950  },
{name: 54, x: 12600,y: 7250  },
{name: 55, x: 14200,y: 8450  },
{name: 56, x: 14900,y: 8450  },
{name: 57, x: 15110,y: 10053 },
{name: 58, x: 13992,y: 10052 },
{name: 59, x: 13100,y: 10800 },
{name: 60, x: 12600,y: 10950 },
{name: 61, x: 14200,y: 11650 },
{name: 62, x: 14900,y: 11650 },
{name: 63, x: 16150,y: 10800 },
{name: 64, x: 16800,y: 10950 },
{name: 65, x: 16800,y: 7250  },
{name: 66, x: 16150,y: 6950  },
{name: 67, x: 16800,y: 3300  },
{name: 68, x: 16150,y: 2300  },
{name: 69, x: 14900,y: 1600  },
{name: 70, x: 19800,y: 800   },
{name: 71, x: 19800,y: 10000 },
{name: 72, x: 19800,y: 11900 },
{name: 73, x: 19800,y: 12200 },
{name: 74, x: 200  ,y:  12200},
{name: 75, x: 200  ,y:  1100 },
{name: 76, x: 200  ,y:  800  }]}
